Time [s], Left [V], Right [V]
0.005964, 0.003265, 0.003739
0.005986, 0.003739, 0.004353
0.006009, 0.004353, 0.004632
0.006032, 0.004632, 0.005127
0.006054, 0.005127, 0.005679
0.006077, 0.005679, 0.006206
0.006100, 0.006206, 0.006537
0.006122, 0.006537, 0.006584
0.006145, 0.006584, 0.006759
0.006168, 0.006759, 0.006968
0.006190, 0.006968, 0.007362
0.006213, 0.007362, 0.007933
0.006236, 0.007933, 0.008292
0.006259, 0.008292, 0.008360
0.006281, 0.008360, 0.008534
0.006304, 0.008534, 0.008823
0.006327, 0.008823, 0.009144
0.006349, 0.009144, 0.009237
0.006372, 0.009237, 0.009091
0.006395, 0.009091, 0.008977
0.006417, 0.008977, 0.008911
0.006440, 0.008911, 0.008931
0.006463, 0.008931, 0.008798
0.006485, 0.008798, 0.008662
0.006508, 0.008662, 0.008678
0.006531, 0.008678, 0.008394
0.006553, 0.008394, 0.007834
0.006576, 0.007834, 0.007493
0.006599, 0.007493, 0.007135
0.006621, 0.007135, 0.006813
0.006644, 0.006813, 0.006425
0.006667, 0.006425, 0.006022
0.006689, 0.006022, 0.005963
0.006712, 0.005963, 0.005687
0.006735, 0.005687, 0.005317
0.006757, 0.005317, 0.004876
0.006780, 0.004876, 0.004481
0.006803, 0.004481, 0.004264
0.006825, 0.004264, 0.004112
0.006848, 0.004112, 0.004024
0.006871, 0.004024, 0.003825
0.006893, 0.003825, 0.003677
0.006916, 0.003677, 0.003448
0.006939, 0.003448, 0.003215
0.006961, 0.003215, 0.003104
0.006984, 0.003104, 0.003054
0.007007, 0.003054, 0.003011
0.007029, 0.003011, 0.002907
0.007052, 0.002907, 0.002781
0.007075, 0.002781, 0.002673
0.007098, 0.002673, 0.002464
0.007120, 0.002464, 0.002372
0.007143, 0.002372, 0.002579
0.007166, 0.002579, 0.002688
0.007188, 0.002688, 0.002761
0.007211, 0.002761, 0.002931
0.007234, 0.002931, 0.003131
0.007256, 0.003131, 0.003345
0.007279, 0.003345, 0.003772
0.007302, 0.003772, 0.004029
0.007324, 0.004029, 0.003997
0.007347, 0.003997, 0.004041
0.007370, 0.004041, 0.004086
0.007392, 0.004086, 0.004362
0.007415, 0.004362, 0.004669
0.007438, 0.004669, 0.004851
0.007460, 0.004851, 0.004873
